Municipality,Year,No health insurance coverage,Unemployed,No vehicles available,Child,Foreign born,"Speak English less than ""very well""",Median age (years),"Less than $25,000",Less than 12th grade,Without a broadband Internet subscription,Weighted Mean
Linn town,2018,0.9128901389090245,-0.1707368160107693,-0.8566183960279286,0.15871752261508718,1.181594153536083,1.5297631216728678,0.6986904956449628,-0.24829979145678116,0.32678234527648,-0.9831699877959015,0.1903457444588815
Elkhorn city,2018,-0.30661958864119937,-0.613387820483134,1.247356611759966,0.5586856796051061,0.16983157558469675,0.13544777639811836,-0.3853740762753222,0.5831368678631925,0.5280266048309102,-0.8632154808024437,0.1203764195407619
Darien village,2018,1.156792084419069,0.7145651929339605,-1.207280897325911,0.6920083986017792,-0.0831090689031496,-0.1434152926568316,-0.7347833184645048,-0.6046297883081985,0.7292708643853408,-0.8152336780050609,0.020691752275534013
Geneva town,2018,0.9128901389090245,-0.1707368160107693,-0.15529339343196383,-0.2412506343749324,0.42277222007254345,0.41431084545306834,0.5015878462049114,-0.6046297883081985,-0.47819469294124173,-0.9351881849985184,-0.08085960257613851
Troy town,2018,-0.5505215341512439,-0.1707368160107693,-0.5059558947299462,-0.7745415103616249,-0.8419310023666893,-0.7011414307667313,0.94954841311412,0.10803020539463609,-0.679438952495672,-0.9111972835998269,-0.22153557973323396
Sharon town,2018,-0.5505215341512439,-1.0560388249554986,0.19536910786601863,-0.9078642293582977,0.42277222007254345,0.41431084545306834,1.137691851215987,-0.24829979145678116,0.32678234527648,-0.5753246640181454,-0.3166489379290464
Genoa City village,2018,-0.5505215341512439,-0.1707368160107693,-0.15529339343196383,0.9586538365951256,-0.0831090689031496,-0.1434152926568316,-0.5645583030390057,-0.48585312269105924,-0.47819469294124173,-0.9351881849985184,-0.3435315841887019
La Grange town,2018,-0.06271764313115437,-1.0560388249554986,-0.5059558947299462,-0.37457335337160563,-0.8419310023666893,-0.7011414307667313,0.9853852584668565,-0.36707645707392017,-0.8806832120501025,-0.9351881849985184,-0.3835320677244904
Whitewater town,2018,0.4250862478889349,-0.1707368160107693,-0.5059558947299462,-0.37457335337160563,0.16983157558469675,-0.1434152926568316,0.49262863486672703,-1.0797364507767548,-0.27695043338681113,-0.8872063822011352,-0.4318885146282769
Delavan town,2018,-0.7944234796612888,-0.613387820483134,0.19536910786601863,-0.37457335337160563,-0.33604971339099615,-0.1434152926568316,0.7793233976886201,-0.48585312269105924,0.5280266048309102,-0.7912427766063693,-0.46335690378914407
Lyons town,2018,-1.0383254251713336,-0.1707368160107693,0.19536910786601863,0.4253629606084328,-1.0948716468545356,-0.7011414307667313,0.5463839028958322,-0.4858531226910594,-0.47819469294124156,-0.8632154808024437,-0.4950054156615641
Sugar Creek town,2018,-0.5505215341512439,-0.613387820483134,0.5460316091640011,0.5586856796051061,-0.33604971339099615,-0.1434152926568316,0.45679178951399046,-0.9609597851596157,0.7292708643853408,-0.9111972835998269,-0.5663979605259077
East Troy village,2018,-0.30661958864119937,-1.0560388249554986,-0.8566183960279286,-0.2412506343749324,-1.0948716468545356,-0.9800044998216814,-0.1255569474679807,-0.6046297883081985,-0.47819469294124156,-0.8152336780050609,-0.5674817040578757
Spring Prairie town,2018,-0.06271764313115437,-1.0560388249554986,-0.5059558947299462,-0.7745415103616249,-0.8419310023666893,-0.9800044998216814,0.7882826090268045,-0.8421831195424766,-0.679438952495672,-1.0071608891945931,-0.6285001356655139
East Troy town,2018,-0.7944234796612888,-1.0560388249554986,-1.207280897325911,0.4253629606084328,-0.8419310023666893,-0.9800044998216814,0.6270168049394896,-0.6046297883081985,-0.679438952495672,-1.151106297586742,-0.6372605834566398
Fontana-on-Geneva Lake village,2018,-0.7944234796612888,-1.0560388249554986,0.19536910786601863,-1.3078323863483168,-0.33604971339099615,-0.7011414307667313,1.621489263477933,-0.6046297883081985,-1.0819274716045328,-1.0551426919919762,-0.6579199143965558
Richmond town,2018,-1.0383254251713336,-0.1707368160107693,-1.207280897325911,0.4253629606084328,-0.8419310023666893,-0.9800044998216814,0.46575100085217414,-0.8421831195424766,-0.27695043338681113,-0.8152336780050609,-0.6779637892605495
Lafayette town,2018,-1.2822273706813783,-0.613387820483134,-0.5059558947299462,0.025394803618413977,-0.8419310023666893,-0.9800044998216814,0.6001391709249367,-0.7234064539253376,-0.8806832120501025,-0.9111972835998269,-0.7400941872647636
Mukwonago village,2018,-1.770031261701468,-1.4986898294278637,-1.207280897325911,0.4253629606084328,-1.3478122913423822,-0.9800044998216814,-0.663109627759031,-1.7923964444795895,-1.685660250267824,-1.2950517059788913,-1.3876537018540465
Burlington city,2018,-1.770031261701468,-1.4986898294278637,-1.207280897325911,-3.574318609291759,-1.3478122913423822,-0.9800044998216814,-0.22410827218800672,-1.7923964444795895,-1.685660250267824,1.1040384338902616,-1.458903246244178
Whitewater city,2017,0.6689881933989799,1.157216197406325,2.650006616951895,-1.174509667351644,-0.0831090689031496,-0.1434152926568316,-1.7113373543265795,3.077446845823114,0.12553808572204941,-0.6712882696129115,1.3716398897187503
Delavan city,2017,2.3763018119692934,0.2719141884615956,2.650006616951895,0.2920402416117596,2.6992380204631616,3.2029415360025673,-0.3943332876135059,0.9394668647146095,2.5404692003752145,-0.6952791710116032,1.2106841346733752
Walworth village,2017,0.9128901389090245,0.7145651929339605,0.8966941104619833,0.15871752261508718,2.6992380204631616,1.8086261907278183,-0.5824767257153736,1.4145735271831663,0.7292708643853405,-0.47936105842337945,0.9912118068211468
Lake Geneva city,2017,0.18118430237889027,0.7145651929339605,1.9486816143559305,0.15871752261508718,1.181594153536083,0.9720369835629683,-0.08076089077705985,1.0582435303317486,0.12553808572204941,-0.7672518752076778,0.6221393709565588
Bloomfield village,2017,0.18118430237889027,2.927820215295784,-0.5059558947299462,0.6920083986017792,-0.33604971339099615,-0.1434152926568316,0.080504913310255,0.5831368678631925,-0.2769504333868114,-0.8392245794037525,0.5414218301637571
Sharon village,2017,-0.06271764313115437,0.2719141884615956,-0.15529339343196383,0.6920083986017792,0.9286535090482362,0.9720369835629683,-0.4749661896571639,1.058243530331749,1.9367364217119227,-0.64729736821422,0.5371322945008401
Darien town,2017,1.644595975439159,-0.1707368160107693,-0.5059558947299462,0.8253311175984525,1.940416086999622,2.366352328837718,0.04466806795751844,-0.36707645707392034,1.9367364217119227,-0.7912427766063693,0.4107883830024135
Darien village,2017,1.156792084419069,2.485169210823419,-0.8566183960279286,0.8253311175984525,0.42277222007254345,0.13544777639811836,-0.6720688390972154,-0.24829979145678116,0.9305151239397711,-0.7432609738089863,0.3840961454705048
Linn town,2017,1.156792084419069,0.7145651929339605,-0.5059558947299462,0.15871752261508718,0.9286535090482362,1.2509000526179181,0.7882826090268045,-0.12952312583964196,0.12553808572204941,-0.9111972835998269,0.3554777962871445
Bloomfield town,2017,0.18118430237889027,-0.1707368160107693,-0.5059558947299462,0.9586538365951256,0.42277222007254345,0.41431084545306834,-0.448088555642611,0.7019135334803314,0.9305151239397711,-0.8392245794037525,0.34120980961155745
Elkhorn city,2017,0.18118430237889027,-0.1707368160107693,0.8966941104619833,0.4253629606084328,0.42277222007254345,0.13544777639811836,-0.32265959690803275,0.7019135334803317,-0.07570617383238087,-0.7912427766063693,0.30309312827320795
Williams Bay village,2017,-0.06271764313115437,0.2719141884615956,0.5460316091640011,-0.2412506343749324,0.16983157558469675,-0.42227836171178146,0.49262863486672703,0.3455835366289145,-0.47819469294124173,-0.8632154808024437,0.07494305173042207
Walworth town,2017,-0.5505215341512439,-0.1707368160107693,1.9486816143559305,0.6920083986017792,-0.33604971339099615,-0.42227836171178146,0.22385229472120188,0.34558353662891417,0.7292708643853408,-0.599315565416837,0.004226093746292259
Geneva town,2017,0.18118430237889027,-0.1707368160107693,0.19536910786601863,-0.37457335337160563,0.42277222007254345,0.6931739145080181,0.6001391709249367,-0.24829979145678116,-0.27695043338681113,-0.9111972835998269,-0.056271403608622206
La Grange town,2017,0.4250862478889349,0.2719141884615956,-0.5059558947299462,-0.10792791537825921,-0.5889903578788427,-0.7011414307667313,0.7793233976886201,-0.24829979145678116,-0.8806832120501025,-0.9351881849985184,-0.09625428724780495
Delavan town,2017,-0.5505215341512439,-0.1707368160107693,-0.15529339343196383,0.15871752261508718,-0.0831090689031496,-0.1434152926568316,0.6001391709249367,-0.010746460222503102,-0.8806832120501025,-0.7432609738089863,-0.16159542486152595
Troy town,2017,-0.5505215341512439,-0.613387820483134,-0.8566183960279286,-0.6412187913649516,-0.8419310023666893,-0.7011414307667313,0.9405892017759356,0.22680687101177496,-0.47819469294124173,-0.8872063822011352,-0.2136101421535902
East Troy village,2017,-0.30661958864119937,-0.613387820483134,-0.5059558947299462,0.4253629606084328,-0.8419310023666893,-0.7011414307667313,-0.43912934430442674,-0.12952312583964196,-0.679438952495672,-0.7912427766063693,-0.273822229822368
Genoa City village,2017,-0.30661958864119937,-0.1707368160107693,-0.15529339343196383,1.2252992745884712,-0.33604971339099615,-0.1434152926568316,-0.8243754318463465,-0.4858531226910594,-0.27695043338681113,-1.0071608891945931,-0.28991390097297637
East Troy town,2017,-0.30661958864119937,-0.613387820483134,-1.207280897325911,0.15871752261508718,-0.8419310023666893,-0.7011414307667313,0.7345273409976993,-0.24829979145678116,-0.8806832120501025,-1.151106297586742,-0.3366984603378267
Sharon town,2017,-0.30661958864119937,-1.0560388249554986,-0.15529339343196383,-0.6412187913649516,0.16983157558469675,-0.1434152926568316,0.967466835790488,-0.36707645707392034,0.12553808572204941,-0.5753246640181454,-0.3654306823067057
Lafayette town,2017,-1.0383254251713336,-0.1707368160107693,-0.8566183960279286,-0.10792791537825921,-0.5889903578788427,-0.9800044998216814,0.5374246915576479,-0.24829979145678116,-0.8806832120501025,-0.8872063822011352,-0.46703353820832016
Richmond town,2017,-0.7944234796612888,-0.1707368160107693,-0.8566183960279286,0.2920402416117596,-0.8419310023666893,-0.7011414307667313,0.6807720729685948,-0.6046297883081985,-0.27695043338681113,-0.7672518752076778,-0.5027357601139905
Lyons town,2017,-0.7944234796612888,-1.0560388249554986,-0.5059558947299462,0.2920402416117596,-1.0948716468545356,-0.7011414307667313,0.4119957328230696,-0.4858531226910594,-0.47819469294124156,-0.8392245794037525,-0.5499228317613422
Spring Prairie town,2017,0.4250862478889349,-0.613387820483134,-0.5059558947299462,-0.5078960723682784,-0.8419310023666893,-0.9800044998216814,0.7524457636740679,-1.0797364507767548,-1.0819274716045328,-0.9351881849985184,-0.5664814193055544
Fontana-on-Geneva Lake village,2017,-0.7944234796612888,-1.0560388249554986,-0.15529339343196383,-1.041186948354971,-0.5889903578788427,-0.7011414307667313,1.5587747841106434,-0.48585312269105924,-0.8806832120501025,-1.0311517905932845,-0.6003383457804238
Sugar Creek town,2017,-1.2822273706813783,-0.1707368160107693,0.5460316091640011,0.8253311175984525,-0.5889903578788427,-0.42227836171178146,-0.16139379282071792,-0.8421831195424766,0.7292708643853408,-0.9831699877959015,-0.6516797430001682
Whitewater town,2017,-0.5505215341512439,-0.613387820483134,-0.15529339343196383,-0.37457335337160563,-0.0831090689031496,-0.42227836171178146,0.5463839028958322,-1.0797364507767548,-0.27695043338681113,-0.8392245794037525,-0.6923806578756131
Burlington city,2017,-1.770031261701468,-1.4986898294278637,-1.207280897325911,-3.574318609291759,-1.3478122913423822,-0.9800044998216814,-3.6823638487270975,-1.7923964444795895,-1.685660250267824,1.1040384338902616,-1.5280683577749596
Mukwonago village,2017,-1.770031261701468,-1.4986898294278637,-1.207280897325911,-3.574318609291759,-1.3478122913423822,-0.9800044998216814,-3.6823638487270975,-1.7923964444795895,-1.685660250267824,-1.2950517059788913,-1.6480228647684172
Whitewater city,2016,0.6689881933989799,1.157216197406325,2.650006616951895,-0.9078642293582977,-0.0831090689031496,0.13544777639811836,-1.7113373543265795,3.43377684267453,0.12553808572204941,1.1040384338902616,1.6441568024396374
Delavan city,2016,2.1323998664592483,0.7145651929339605,2.299344115653913,0.4253629606084328,2.446297375975315,2.924078466947618,-0.5287214576862684,1.4145735271831663,2.5404692003752145,1.1040384338902616,1.4585628318810222
Walworth village,2016,0.9128901389090245,1.157216197406325,0.8966941104619833,0.2920402416117596,2.6992380204631616,2.0874892597827674,-0.5376806690244528,1.6521268584174447,0.5280266048309102,1.1040384338902616,1.2446165783669236
Lake Geneva city,2016,0.9128901389090245,0.2719141884615956,2.650006616951895,0.15871752261508718,1.4345347980239294,1.5297631216728678,-0.0001279887334024237,1.5333501928003055,0.32678234527648,1.1040384338902616,1.0729211401354914
Sharon village,2016,0.4250862478889349,1.157216197406325,0.19536910786601863,1.0919765555917982,0.42277222007254345,0.41431084545306834,-0.6003951483917422,1.652126858417444,1.1317593834942017,1.1040384338902616,1.0111672348156322
Darien village,2016,2.1323998664592483,2.0425182063510547,-0.8566183960279286,0.5586856796051061,0.9286535090482362,0.9720369835629683,-0.6093543597299266,0.34558353662891417,1.5342479026030622,1.1040384338902616,0.9383518414547082
Bloomfield village,2016,0.4250862478889349,2.485169210823419,-0.15529339343196383,0.4253629606084328,-0.0831090689031496,0.13544777639811836,0.080504913310255,0.46436020224605334,0.3267823452764797,1.1040384338902616,0.6153502632551822
Bloomfield town,2016,0.4250862478889349,-0.1707368160107693,0.5460316091640011,0.9586538365951256,0.16983157558469675,0.13544777639811836,-0.30474117423166414,0.9394668647146095,0.32678234527648,1.1040384338902616,0.5659751976336417
Darien town,2016,1.644595975439159,0.7145651929339605,-0.5059558947299462,0.4253629606084328,1.6874754425117755,2.645215397892668,0.19697466070664899,-0.48585312269105924,2.1379806812663533,1.1040384338902616,0.5578060090858391
Linn town,2016,0.9128901389090245,0.7145651929339605,-0.5059558947299462,0.4253629606084328,0.9286535090482362,0.9720369835629683,0.7793233976886201,0.22680687101177496,0.12553808572204941,1.1040384338902616,0.5352579725676153
Elkhorn city,2016,0.18118430237889027,0.7145651929339605,0.5460316091640011,0.8253311175984525,-0.0831090689031496,-0.1434152926568316,-0.3674556535989536,0.5831368678631925,-0.07570617383238087,1.1040384338902616,0.4261862782428645
Walworth town,2016,-0.30661958864119937,0.7145651929339605,1.5980191130579482,0.4253629606084328,-0.33604971339099615,-0.7011414307667313,0.26864835141212273,0.46436020224605334,-0.27695043338681113,1.1040384338902616,0.227885767270661
Williams Bay village,2016,-0.06271764313115437,-0.1707368160107693,0.19536910786601863,-0.5078960723682784,0.16983157558469675,-0.42227836171178146,0.5911799595867531,0.5831368678631925,-0.679438952495672,1.1040384338902616,0.20869410909328542
Genoa City village,2016,0.4250862478889349,0.2719141884615956,0.19536910786601863,1.3586219935851445,-0.33604971339099615,-0.42227836171178146,-0.8154162205081622,-0.010746460222503102,0.1255380857220497,1.1040384338902616,0.17976063620603439
Geneva town,2016,-0.06271764313115437,1.157216197406325,0.8966941104619833,0.025394803618413977,0.16983157558469675,0.13544777639811836,0.3313628307794116,-0.12952312583964196,-0.27695043338681113,1.1040384338902616,0.14167947801399852
East Troy village,2016,-0.30661958864119937,-0.613387820483134,-0.15529339343196383,1.2252992745884712,-0.8419310023666893,-0.9800044998216814,-0.5466398803626371,0.5831368678631925,-0.679438952495672,1.1040384338902616,0.11947275126891985
Delavan town,2016,-0.30661958864119937,0.2719141884615956,0.19536910786601863,-0.37457335337160563,-0.0831090689031496,-0.42227836171178146,0.5284654802194636,0.10803020539463609,-0.07570617383238087,1.1040384338902616,0.020848001813578237
La Grange town,2016,0.18118430237889027,0.2719141884615956,-0.5059558947299462,-0.2412506343749324,-0.8419310023666893,-0.9800044998216814,0.7614049750122522,-0.24829979145678116,-1.0819274716045328,1.1040384338902616,-0.07868415671423093
Lyons town,2016,-0.5505215341512439,-0.613387820483134,-0.8566183960279286,0.5586856796051061,-0.8419310023666893,-0.7011414307667313,0.295525985426675,-0.010746460222503102,-0.47819469294124156,1.1040384338902616,-0.16197527462121392
Sharon town,2016,-0.30661958864119937,-0.613387820483134,0.19536910786601863,-0.6412187913649516,-0.0831090689031496,-0.1434152926568316,1.0033036811432245,-0.24829979145678116,0.32678234527648,1.1040384338902616,-0.1851633987971587
Spring Prairie town,2016,-0.30661958864119937,0.7145651929339605,-0.15529339343196383,-0.10792791537825921,-0.8419310023666893,-0.7011414307667313,0.6807720729685948,-0.48585312269105924,-0.8806832120501025,1.1040384338902616,-0.19005475713728823
